LAT,LON,averageSignal,radio,Network,MCC,MNC,TAC,CID,RANGE
33.526840209961,-7.6361846923828,0,GSM,IAM,604,1,15,40727,1000
33.526840209961,-7.6361846923828,0,GSM,IAM,604,1,15,49839,1000
33.526840209961,-7.6361846923828,0,GSM,IAM,604,1,208,40617,1000
33.526840209961,-7.6361846923828,0,GSM,IAM,604,1,15,40588,1000
33.473282,-7.631143,0,GSM,IAM,604,1,38,53392,11947
33.366165161133,-7.6210784912109,0,GSM,IAM,604,1,161,54239,1000
33.366165161133,-7.6210784912109,0,GSM,IAM,604,1,187,53353,1000
33.505417,-7.631239,0,GSM,IAM,604,1,38,54688,15513
33.366165161133,-7.6210784912109,0,GSM,IAM,604,1,38,50279,1000
33.358349,-7.617481,0,GSM,IAM,604,1,35,53552,16424
33.306329,-7.599297,0,GSM,IAM,604,1,35,53543,10405
33.366166,-7.61322,0,GSM,IAM,604,1,35,21932,17181
33.215103149414,-7.5743865966797,0,GSM,IAM,604,1,35,53040,1000
33.215103149414,-7.5743865966797,0,GSM,IAM,604,1,35,53235,1000
33.267298,-7.623109,0,GSM,IAM,604,1,71,20938,7363
33.215103149414,-7.5743865966797,0,GSM,IAM,604,1,35,53553,1000
33.164291,-7.5895,0,GSM,IAM,604,1,71,53724,15886
33.021469116211,-7.5936126708984,0,GSM,IAM,604,1,71,53725,1000
33.021469116211,-7.5936126708984,0,GSM,IAM,604,1,33,52806,1000
33.021469116211,-7.5936126708984,0,GSM,IAM,604,1,71,20924,1000
33.150833,-7.580706,0,GSM,IAM,604,1,33,51748,17383
33.12584,-7.583325,0,GSM,IAM,604,1,33,53322,11645
33.021469116211,-7.5936126708984,0,GSM,IAM,604,1,71,20968,1000
32.942513,-7.643784,0,GSM,IAM,604,1,33,52808,10976
32.942513,-7.643784,0,GSM,IAM,604,1,33,52774,10976
32.965514,-7.63863,0,GSM,IAM,604,1,33,54997,13535
32.851181030273,-7.6883697509766,0,GSM,IAM,604,1,190,53735,1000
32.851181030273,-7.6883697509766,0,GSM,IAM,604,1,33,52773,1000
32.851181030273,-7.6883697509766,0,GSM,IAM,604,1,33,22526,1000
32.942513,-7.643784,0,GSM,IAM,604,1,33,20935,10976
32.815499,-7.679573,0,GSM,IAM,604,1,33,53365,18016
35.409277,-6.015803,0,GSM,IAM,604,1,65,20322,29243
35.389189,-6.008401,0,GSM,IAM,604,1,68,21655,22738
35.333374,-6.036533,0,GSM,IAM,604,1,68,20328,28500
32.815499,-7.679573,0,GSM,IAM,604,1,33,52980,18016
32.66716003418,-7.7570343017578,0,GSM,IAM,604,1,33,20933,1000
32.66716003418,-7.7570343017578,0,GSM,IAM,604,1,190,52784,1000
32.66716003418,-7.7570343017578,0,GSM,IAM,604,1,33,20912,1000
32.815499,-7.679573,0,GSM,IAM,604,1,33,52979,18016
32.665139,-7.814864,0,GSM,IAM,604,1,33,20974,17791
32.646805,-7.79966,0,GSM,IAM,604,1,199,51858,18929
32.528457641602,-7.9135894775391,0,GSM,IAM,604,1,33,52232,1000
32.665139,-7.814864,0,GSM,IAM,604,1,33,52768,17791
32.602073,-7.843854,0,GSM,IAM,604,1,199,51912,13894
32.528457641602,-7.9135894775391,0,GSM,IAM,604,1,33,52231,1000
32.547697,-7.877493,0,GSM,IAM,604,1,199,24896,24135
32.477192,-7.914079,0,GSM,IAM,604,1,199,24897,15661
32.504933,-7.892491,0,GSM,IAM,604,1,199,51906,25337
32.340316772461,-7.9534149169922,0,GSM,IAM,604,1,33,53345,1000
32.511302,-7.895322,0,GSM,IAM,604,1,199,51913,19779
32.508332,-7.876134,0,GSM,IAM,604,1,199,51859,20041
32.358177,-7.942718,0,GSM,IAM,604,1,199,51897,25052
35.69309,-5.738866,0,GSM,IAM,604,1,65,23956,11365
35.708528,-5.676702,0,GSM,IAM,604,1,51,50012,23895
35.667532,-5.819103,0,GSM,IAM,604,1,65,53854,27967
32.350893,-7.950004,0,GSM,IAM,604,1,199,51885,22892
32.294607,-7.963045,0,GSM,IAM,604,1,199,51899,16515
32.329333,-7.955605,0,GSM,IAM,604,1,199,51887,20438
32.418781,-7.919692,0,GSM,IAM,604,1,199,51908,30890
32.434742,-7.922243,0,GSM,IAM,604,1,199,51907,32559
32.169206,-7.985298,0,GSM,IAM,604,1,199,51870,23610
32.021755,-8.119512,0,GSM,IAM,604,1,199,51872,11985
32.090379,-7.996395,0,GSM,IAM,604,1,199,51871,22835
32.079393,-7.997386,0,GSM,IAM,604,1,89,15938,13559
32.187059,-7.983927,0,GSM,IAM,604,1,199,24886,25596
31.954148,-8.004221,0,GSM,IAM,604,1,199,51864,19612
31.970902,-8.006284,0,GSM,IAM,604,1,199,22419,21485
31.77864074707,-7.9836273193359,0,GSM,IAM,604,1,199,51879,1000
31.926957,-8.0001,0,GSM,IAM,604,1,199,51905,16565
31.93245,-7.998726,0,GSM,IAM,604,1,199,51866,17162
32.036133,-7.972672,0,GSM,IAM,604,1,84,19757,28651
31.686630249023,-7.9918670654297,0,GSM,IAM,604,1,199,51732,1000
31.775552,-7.987568,0,GSM,IAM,604,1,199,22329,15737
31.668778,-8.006289,0,GSM,IAM,604,1,164,54019,2409
35.722281,-5.67203,0,GSM,IAM,604,1,58,20427,20077
35.781151,-5.597753,0,GSM,IAM,604,1,51,52650,16304
31.650924682617,-8.0207061767578,0,GSM,IAM,604,1,164,51257,1000
31.597366333008,-8.0028533935547,0,GSM,IAM,604,1,164,54544,1000
31.650924682617,-8.0207061767578,0,GSM,IAM,604,1,164,51239,1000
31.650924682617,-8.0207061767578,0,GSM,IAM,604,1,164,53986,1000
31.650924682617,-8.0207061767578,0,GSM,IAM,604,1,164,54007,1000
31.650924682617,-8.0207061767578,0,GSM,IAM,604,1,164,51258,1000
31.709978,-8.000806,0,GSM,IAM,604,1,164,52240,6831
31.508102416992,-8.0619049072266,0,GSM,IAM,604,1,17,52953,1000
31.597366333008,-8.0028533935547,0,GSM,IAM,604,1,59,54399,1000
31.597366333008,-8.0028533935547,0,GSM,IAM,604,1,59,21154,1000
31.597366333008,-8.0028533935547,0,GSM,IAM,604,1,164,54543,1000
31.597366333008,-8.0028533935547,0,GSM,IAM,604,1,196,21260,1000
31.597366333008,-8.0028533935547,0,GSM,IAM,604,1,164,54023,1000
31.574711,-8.028969,0,GSM,IAM,604,1,17,54027,8037
31.508102416992,-8.0619049072266,0,GSM,IAM,604,1,59,52945,1000
31.508102416992,-8.0619049072266,0,GSM,IAM,604,1,17,54025,1000
31.508102416992,-8.0619049072266,0,GSM,IAM,604,1,59,21365,1000
31.613005,-7.987917,0,GSM,IAM,604,1,59,51192,13609
31.402359008789,-8.0976104736328,0,GSM,IAM,604,1,65297,51467,1000
31.402359008789,-8.0976104736328,0,GSM,IAM,604,1,17,51468,1000
31.490943,-8.055765,0,GSM,IAM,604,1,17,51469,10620
31.490943,-8.055765,0,GSM,IAM,604,1,89,17490,10620
31.53115,-7.911958,0,GSM,IAM,604,1,84,15749,22696
31.497908,-8.262237,0,GSM,IAM,604,1,70,19444,18888
31.418152,-8.068081,0,GSM,IAM,604,1,74,15474,4863
31.397896,-8.064992,0,GSM,IAM,604,1,74,19335,7134
31.374893188477,-8.0605316162109,0,GSM,IAM,604,1,74,18443,1000
31.397896,-8.064992,0,GSM,IAM,604,1,74,15493,7134
31.374893188477,-8.0605316162109,0,GSM,IAM,604,1,74,18445,1000
35.886795,-5.49028,0,GSM,IAM,604,1,173,20828,1052
31.405564,-8.06648,0,GSM,IAM,604,1,74,17879,6270
31.291582,-8.089383,0,GSM,IAM,604,1,74,19566,9919
31.377639770508,-8.0619049072266,0,GSM,IAM,604,1,74,19278,1000
31.377639770508,-8.0619049072266,0,GSM,IAM,604,1,89,18450,1000
31.445618,-8.062589,0,GSM,IAM,604,1,70,19445,2148
31.391373,-8.088694,0,GSM,IAM,604,1,74,19336,7886
31.488887,-8.093517,0,GSM,IAM,604,1,74,19269,12593
31.635143,-8.067366,0,GSM,IAM,604,1,74,15472,7997
31.503984,-8.030333,0,GSM,IAM,604,1,74,18439,8543
31.568904,-7.884394,0,GSM,IAM,604,1,165,25662,12320
31.641311645508,-7.9959869384766,0,GSM,IAM,604,1,17,52955,1000
31.641311645508,-7.9959869384766,0,GSM,IAM,604,1,17,52948,1000
31.641311645508,-7.9959869384766,0,GSM,IAM,604,1,17,51335,1000
31.641311645508,-7.9959869384766,0,GSM,IAM,604,1,17,52954,1000
31.641311645508,-7.9959869384766,0,GSM,IAM,604,1,17,51313,1000
31.641311645508,-7.9959869384766,0,GSM,IAM,604,1,17,52905,1000
31.714096069336,-7.9822540283203,0,GSM,IAM,604,1,196,21257,1000
31.714096069336,-7.9822540283203,0,GSM,IAM,604,1,59,21261,1000
31.714096069336,-7.9822540283203,0,GSM,IAM,604,1,59,51264,1000
31.714096069336,-7.9822540283203,0,GSM,IAM,604,1,196,51071,1000
31.714096069336,-7.9822540283203,0,GSM,IAM,604,1,59,51263,1000
31.714096069336,-7.9822540283203,0,GSM,IAM,604,1,196,21256,1000
31.769027709961,-7.9808807373047,0,GSM,IAM,604,1,164,54056,1000
31.769027709961,-7.9808807373047,0,GSM,IAM,604,1,199,51733,1000
31.769027709961,-7.9808807373047,0,GSM,IAM,604,1,164,51256,1000
31.751177,-7.977716,0,GSM,IAM,604,1,199,63094,18592
31.807231,-7.989862,0,GSM,IAM,604,1,199,22326,12275
31.801988,-7.99151,0,GSM,IAM,604,1,199,51881,12795
31.913223266602,-8.0261993408203,0,GSM,IAM,604,1,59,54954,1000
31.836778,-7.99689,0,GSM,IAM,604,1,199,22328,8940
31.93348,-8.005254,0,GSM,IAM,604,1,199,51865,19288
31.956253,-8.015448,0,GSM,IAM,604,1,89,19149,16820
32.106857299805,-7.9987335205078,0,GSM,IAM,604,1,89,18823,1000
32.106857299805,-7.9987335205078,0,GSM,IAM,604,1,199,22420,1000
32.12687,-7.978539,0,GSM,IAM,604,1,199,24885,18610
32.294542,-7.960525,0,GSM,IAM,604,1,199,51886,21090
32.341234,-7.954814,0,GSM,IAM,604,1,199,51898,15882
32.338603,-7.948981,0,GSM,IAM,604,1,89,19869,18726
